"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Parabacteroides"	"Lachnospiracea_incertae_sedis"	"Alistipes"	"Blautia"	"Roseburia"	"Unclassified_Clostridiales"	"Lactobacillus"	"Clostridium_XI"	"Erysipelotrichaceae_incertae_sedis"	"Enterococcus"	"Unclassified_Ruminococcaceae"	"Sutterella"	"Escherichia_Shigella"	"Megamonas"	"Ruminococcus"	"Clostridium_XlVa"	"Haemophilus"	"Unclassified_Bacteroidales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Clostridium_XVIII"	"Veillonella"	"Dorea"	"Akkermansia"	"Unclassified_Clostridiaceae_1"	"Clostridium_IV"	"Clostridium_sensu_stricto"	"Streptococcus"	"Turicibacter"	"Klebsiella"	"Unclassified_Lactobacillales"	"Bifidobacterium"	"Unclassified_Enterobacteriaceae"	"Flavonifractor"	"Barnesiella"	"Gemmiger"	"Phascolarctobacterium"	"Oscillibacter"	"Unclassified_Burkholderiales"	"Odoribacter"	"Fusobacterium"	"Butyricicoccus"	"Parasutterella"	"Coprobacillus"	"Anaerovorax"	"Paraprevotella"	"Cellulosilyticum"	"Unclassified_Prevotellaceae"	"Acidaminococcus"	"Coprococcus"	"Unclassified_Bacilli"	"Unclassified_Fusobacteriaceae"	"Unclassified_Proteobacteria"	"Weissella"	"Clostridium_XlVb"	"Dialister"	"Campylobacter"	"Collinsella"	"Unclassified_Bacillales"	"Megasphaera"	"Unclassified_Acidaminococcaceae"	"Eggerthella"	"Holdemania"	"Unclassified_Bacteroidetes"	"Pseudoflavonifractor"	"Porphyromonas"	"Unclassified_Erysipelotrichaceae"	"Acetobacterium"	"Anaerobacter"	"Unclassified_Veillonellaceae"	"Unclassified_Actinomycetales"	"Unclassified_Selenomonadales"	"Bilophila"	"Butyricimonas"	"Unclassified_Clostridia"	"Clostridium_III"	"Catenibacterium"	"Rothia"	"Enterobacter"	"TM7_genus_incertae_sedis"	"Anaerotruncus"	"Subdoligranulum"	"Unclassified_Porphyromonadaceae"	"Lactococcus"	"Gemella"	"Moraxella"	"Peptoniphilus"	"Pseudomonas"	"Granulicatella"	"Eubacterium"	"Hespellia"	"Finegoldia"	"Anaerostipes"	"Unclassified_Pasteurellaceae"	"Anaerofustis"	"Staphylococcus"	"Anaerococcus"	"Corynebacterium"	"Allisonella"	"Atopobium"	"Abiotrophia"	"Unclassified_Pseudomonadaceae"	"Desulfovibrio"	"Unclassified_Alphaproteobacteria"	"Mogibacterium"	"Unclassified_Peptostreptococcaceae"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Unclassified_Gammaproteobacteria"	"Solobacterium"	"Asaccharobacter"	"Erysipelothrix"	"Parvimonas"	"Unclassified_Corynebacteriaceae"	"Streptophyta"	"Howardella"	"Pseudobutyrivibrio"	"Cloacibacterium"	"Clostridium_XIX"	"Scardovia"	"Unclassified_Actinobacteria"	"Unclassified_Flavobacteriales"	"Filifactor"	"Unclassified_Betaproteobacteria"	"Acidovorax"	"Murdochiella"	"Sphingopyxis"	"Pasteurella"	"Victivallis"	"Leuconostoc"	"Unclassified_Coriobacteriaceae"	"Unclassified_Desulfovibrionaceae"	"Citrobacter"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Aggregatibacter"	"Gordonibacter"	"Soehngenia"	"Acinetobacter"	"Unclassified_Rikenellaceae"	"Catonella"	"Syntrophococcus"	"Brevundimonas"	"Slackia"
19127	2	22	39	5	10	0	0	7	0	0	8	4	68	25	0	0	0	11	2	0	26	4	0	1	0	2	0	0	5	37	1	0	0	0	1	0	1	0	2	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
6746	6710	187	78	331	52	1295	67	56	51	0	8	16	2	36	211	0	0	27	14	7	83	69	5	7	0	65	0	0	37	1	1	0	0	0	1	0	2	3	11	5	17	0	158	2	1	6	0	4	1	0	52	0	1	0	0	0	0	2	0	0	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0
7468	3	533	52	1	633	236	41	65	70	0	1	1	0	10	900	0	306	50	159	1	6	12	9	15	1	4	4	9	0	6	5	0	0	0	2	0	10	96	0	0	5	0	65	0	1	0	0	0	0	0	0	0	1	0	0	12	0	2	0	0	0	0	0	4	0	0	0	0	0	0	2	6	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1564	0	93	100	102	23	47	10	11	22	0	24	21	0	68	16	0	0	4	26	1	9	19	9	35	1	39	544	4	31	60	15	7	0	0	65	0	5	0	37	54	1	0	4	0	0	0	11	4	0	0	0	0	2	0	0	0	0	5	0	2	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8291	6	640	485	163	860	21	65	147	76	0	86	4	0	35	113	1	0	248	90	88	6	17	10	2	1	251	0	15	33	25	3	1	0	0	8	0	3	0	11	1	3	3	50	0	0	0	1	0	0	0	0	0	5	0	0	2	0	1	0	2	0	0	11	15	0	0	0	0	0	0	0	4	96	0	0	1	0	1	0	0	0	0	0	1	1	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8842	1	438	519	211	372	472	85	307	76	0	75	6	0	355	524	0	0	75	18	3	97	107	13	56	0	3	0	0	145	1	4	2	0	0	12	0	24	0	150	208	56	0	78	0	6	0	0	19	0	0	0	0	3	0	1	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	1	29	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3082	0	21	37	0	4	0	23	7	20	0	1	13	11	4	6	0	0	11	20	0	10	6	2	0	0	0	0	0	2	1	0	0	0	0	1	0	14	0	1	0	4	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6268	702	257	282	1835	30	2	178	46	136	0	16	40	8	22	409	232	0	12	36	12	62	12	29	28	45	5	0	13	2	22	3	1	0	0	2	9	1	1008	7	0	5	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	149	206	0	23	0	135	1	966	2	51	171	0	40	0	0	0	69	224	76	0	44	250	0	324	10	0	483	1	155	3	0	207	0	0	13	72	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3193	1	179	67	1	65	0	13	99	24	0	264	10	0	5	0	267	0	14	27	1	9	3	3	1	1	38	0	6	1	51	1	3	3	0	1	47	4	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	7	0	0	47	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
744	74	911	1207	10	144	0	485	168	201	18	1997	323	1	21	1	1181	1	37	280	75	11	30	18	95	159	406	0	1	7	17	169	13	63	1	11	91	9	1	11	0	0	0	1	1	0	0	1	0	0	0	1	0	3	0	28	1	1	0	0	18	1	0	0	0	0	0	0	1	55	3	0	1	0	4	0	0	0	3	0	0	2	7	1	0	0	5	20	1	0	6	1	2	0	0	7	0	0	0	0	1	0	0	1	1	0	0	0	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4595	6411	790	300	123	405	0	225	59	140	0	20	4	0	8	468	0	0	21	56	29	27	24	38	7	0	8	0	1	0	8	1	56	0	0	1	0	1	2	34	0	0	0	0	0	4	0	0	0	2	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1898	0	176	50	535	167	0	3	68	22	0	3	1	0	8	0	1	0	11	6	4	28	3	4	0	2	3	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	120	46	2168	183	0	1	125	6	0	37	27	0	29	0	0	0	14	1	0	13	6	1	3	0	3	0	0	0	0	0	0	0	0	0	62	27	0	0	0	0	0	0	0	0	0	0	0	0	14	0	71	2	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2411	1	9	25	20	9	78	3	2	2	0	5	0	0	29	0	0	0	119	2	0	3	7	2	1	0	1	0	0	24	0	0	1	0	0	4	0	0	0	0	0	11	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	4064	117	363	14	171	0	12	33	20	5	0	0	0	2	38	3	0	0	7	15	511	1	156	6	272	7	0	0	1	1	0	0	0	17	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99	0	1	0	0	0	3	0	0	29	0	0	0	26	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
139	0	796	47	0	485	14	257	121	43	0	16	26	5	9	1	10	104	220	15	0	1	7	79	53	0	25	3	10	35	6	19	0	1	0	21	0	4	0	0	0	2	0	0	0	0	0	21	0	0	0	0	0	1	0	0	3	0	0	1	0	24	0	0	0	4	1	0	0	0	1	31	4	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2476	1	40	8	3	71	0	3	33	9	0	5	2	0	2	0	0	0	0	8	41	10	1	4	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	4	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2402	0	3	51	3	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12532	2	183	136	3	286	3021	41	36	20	1	69	12	0	77	0	0	0	112	14	0	37	40	14	2	0	12	0	2	207	1	3	1	0	1	4	4	16	0	0	0	12	1004	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	6	6	0	0	0	0	1	0	0	0	22	0	0	2	0	0	0	2	0	0	3	0	0	0	0	0	7	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2701	1	1093	779	1	764	0	296	130	279	0	199	182	1	24	0	14	0	8	153	36	19	16	5	24	2	242	0	0	0	9	6	30	0	0	124	1	10	0	0	0	3	0	0	0	102	0	0	0	0	0	0	0	14	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9823	0	665	3	5624	14	0	223	65	57	0	45	12	0	9	0	0	0	3	115	0	88	6	2	0	0	8	0	0	0	0	1	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
462	83	335	61	0	691	0	20	236	44	0	409	0	1	4	0	2	0	0	11	318	0	34	20	18	19	2	0	12	0	36	31	276	9	0	0	9	4	0	1	0	3	0	0	0	0	0	2	0	0	7	0	0	1	0	0	0	0	1	8	1	1	0	0	0	0	0	0	0	2	0	0	1	0	6	0	0	0	0	0	0	1	2	6	0	0	0	0	3	0	1	0	5	0	0	2	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5180	2	11	707	0	0	151	16	1	2	0	22	6	0	20	0	60	0	3	0	1	21	9	0	10	1	0	0	1	0	8	0	0	25	0	0	26	0	1	0	84	0	0	0	0	0	21	0	0	31	0	2	0	0	0	0	4	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
10707	22	67	395	167	0	762	44	4	6	0	39	22	16	42	0	4	0	25	27	0	32	13	10	14	17	0	88	0	5	0	0	0	0	0	0	0	7	2	0	90	0	0	0	21	4	0	11	0	18	0	2	0	1	0	0	0	0	0	0	4	0	0	38	0	0	3	8	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16063	2	164	321	0	10	889	859	31	165	0	48	51	0	26	3	0	0	6	192	0	12	46	11	159	3	2	553	2	76	4	2	0	0	0	1	0	27	0	0	0	10	0	0	0	15	0	23	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	1095	1	0	651	0	181	39	92	14	0	90	0	81	0	0	0	54	12	0	0	8	3	166	0	78	0	0	2	0	182	0	0	0	0	0	5	0	0	0	1	0	0	0	5	0	0	72	0	0	0	0	20	1	0	0	0	0	0	0	0	38	0	0	1	31	0	1	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12497	2	852	1281	584	237	347	212	411	113	0	18	5	0	50	355	0	0	61	52	2	75	47	7	43	1	8	0	0	42	0	5	0	0	0	5	0	10	0	216	81	13	0	45	0	0	0	0	0	1	0	0	0	3	0	0	13	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	41	0	0	0	0	0	2	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
1199	6930	212	170	14	117	7	30	28	372	0	33	2	0	76	0	1	0	324	15	11	226	46	1	0	2	26	0	0	3	0	5	0	0	0	2	0	1	0	4	0	26	0	68	1	2	0	1	0	181	0	49	0	3	0	1	0	4	0	1	4	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2083	2	30	154	41	10	95	5	8	19	0	11	2	3	19	0	0	0	12	13	0	4	59	2	5	0	3	18	0	8	0	0	0	0	0	0	0	21	0	0	0	33	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28202	7	169	220	2911	14	87	53	46	27	0	160	100	71	75	0	52	47	65	53	0	40	27	2	1	0	8	0	0	27	0	3	0	0	1	17	5	16	0	2	141	7	0	0	1	1	0	0	0	0	0	0	4	2	1	0	0	0	0	0	10	0	0	0	0	3	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2986	0	142	82	0	95	16	52	41	29	0	23	5	0	6	0	4	0	6	46	0	4	29	1	13	4	9	0	0	1	0	0	0	0	0	2	0	7	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2972	4638	19	366	639	4	109	9	0	6	0	0	18	0	69	317	0	0	5	63	0	128	16	6	2	0	0	1	0	2	0	1	0	3	0	0	0	25	128	2	0	20	1	156	0	0	0	2	0	20	0	252	0	0	0	0	9	0	0	0	0	0	0	3	77	0	1	4	2	0	0	0	0	0	0	41	7	79	0	0	66	3	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	710	1140	0	474	0	55	185	128	1	13	2	0	7	0	0	0	4	33	18	0	21	18	2	223	6	0	29	0	64	25	0	0	0	25	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	5	0	1	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1429	474	0	126	132	1	72	3	0	3	0	11	0	0	15	152	0	0	1	2	0	169	4	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9314	2	312	57	0	467	513	84	99	112	0	4	6	1	101	0	1	0	59	39	1	4	34	13	25	2	14	0	1	14	0	0	0	1	0	15	0	79	0	180	0	0	0	0	0	3	143	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	5	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1482	2	31	113	1	10	77	6	1	13	0	0	0	2	2	105	0	507	0	13	0	47	6	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
991	14	92	37	324	78	110	194	59	41	0	16	1	0	84	45	0	0	52	5	4	11	14	74	32	1	14	7	1	26	0	1	1	1	0	4	0	5	30	1	2	13	0	17	0	0	0	4	5	0	0	0	0	1	0	0	0	0	1	4	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8850	3	885	356	682	282	193	255	150	113	0	129	18	0	228	483	0	0	62	29	0	32	58	11	42	1	5	0	1	60	0	18	8	0	0	33	0	33	0	103	206	35	1	26	0	4	0	1	25	0	0	0	0	11	0	0	5	0	2	0	26	0	2	0	0	8	5	1	3	11	0	13	0	0	1	0	9	0	1	28	0	0	0	1	1	1	0	0	0	0	5	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3417	406	167	75	0	2	0	24	27	15	0	3	10	0	9	0	3	0	1	1	0	0	18	37	2	0	3	0	7	0	3	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	40	0	0	0	0	0	0	0	8	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
